Price,Confidence Interval,Timestamp
3023.975,1.64255,2022-02-05 15:02:27.994401
3023.975,1.64255,2022-02-05 15:02:28.188792
3023.975,1.64255,2022-02-05 15:02:28.386347
3023.975,1.64255,2022-02-05 15:02:28.579978
3023.9807,1.949,2022-02-05 15:02:28.771448
3023.9926,1.8015,2022-02-05 15:02:28.966809
3023.9926,1.8015,2022-02-05 15:02:29.171992
3023.9926,1.8015,2022-02-05 15:02:29.366762
3023.975,1.64255,2022-02-05 15:02:29.563257
3023.975,1.64255,2022-02-05 15:02:29.759976
3023.975,1.64255,2022-02-05 15:02:29.956205
3023.975,1.64255,2022-02-05 15:02:30.154038
3023.975,1.64255,2022-02-05 15:02:30.357288
3023.975,1.64255,2022-02-05 15:02:30.554701
3023.975,1.64255,2022-02-05 15:02:30.752679
3023.9926,1.8015,2022-02-05 15:02:30.956029
3023.9926,1.8015,2022-02-05 15:02:31.157196
3023.9926,1.8015,2022-02-05 15:02:31.347932
3023.9926,1.8015,2022-02-05 15:02:31.548798
3023.9926,1.8015,2022-02-05 15:02:31.751982
3023.9926,1.8015,2022-02-05 15:02:31.946766
3023.9926,1.8015,2022-02-05 15:02:32.145701
3023.9926,1.8015,2022-02-05 15:02:32.343414
3023.9926,1.8015,2022-02-05 15:02:32.535131
3023.9926,1.8015,2022-02-05 15:02:32.732149
3023.9926,1.8015,2022-02-05 15:02:32.930544
3023.9949,2.74615,2022-02-05 15:02:33.125726
3023.9949,2.74615,2022-02-05 15:02:33.329047
3023.9949,2.74615,2022-02-05 15:02:33.535346
3024.1387,1.9599,2022-02-05 15:02:33.736568
3024.1387,1.9599,2022-02-05 15:02:33.930939
3024.1387,1.9599,2022-02-05 15:02:34.132728
3024.1387,1.9599,2022-02-05 15:02:34.337738
3024.1387,1.9599,2022-02-05 15:02:34.530718
3024.1424,1.9635,2022-02-05 15:02:34.724664
3024.1424,1.9635,2022-02-05 15:02:34.928038
3024.1424,1.9635,2022-02-05 15:02:35.122541
3024.1387,1.9599,2022-02-05 15:02:35.318290
3024.1387,1.9599,2022-02-05 15:02:35.507792
3024.1387,1.9599,2022-02-05 15:02:35.702726
3024.1387,1.9599,2022-02-05 15:02:35.905009
3024.1387,1.9599,2022-02-05 15:02:36.100935
3024.1388,2.26185,2022-02-05 15:02:36.298531
3024.1388,2.26185,2022-02-05 15:02:36.490678
3024.1388,2.26185,2022-02-05 15:02:36.692261
3024.1388,2.26185,2022-02-05 15:02:36.880726
3024.1388,2.26185,2022-02-05 15:02:37.082601
3024.1388,2.26185,2022-02-05 15:02:37.282303
3024.1388,2.26185,2022-02-05 15:02:37.485649
3024.1389,3.19535,2022-02-05 15:02:37.685089
3024.1389,3.19535,2022-02-05 15:02:37.882105
3024.1389,3.19535,2022-02-05 15:02:38.076554
3024.1432,2.9643,2022-02-05 15:02:38.271365
3024.1432,2.9643,2022-02-05 15:02:38.468163
3024.1432,2.9643,2022-02-05 15:02:38.661832
3024.1389,2.98955,2022-02-05 15:02:38.858155
3024.1389,2.98955,2022-02-05 15:02:39.047208
3024.1389,3.19535,2022-02-05 15:02:39.246925
3024.1389,3.19535,2022-02-05 15:02:39.443357
3024.1389,3.19535,2022-02-05 15:02:39.644569
3024.1363,2.42495,2022-02-05 15:02:39.842050
3024.1363,2.42495,2022-02-05 15:02:40.049249
3024.1330000000003,2.2889,2022-02-05 15:02:40.247056
3024.1330000000003,2.2889,2022-02-05 15:02:40.444687
3024.1330000000003,2.2889,2022-02-05 15:02:40.637705
3024.1330000000003,2.2889,2022-02-05 15:02:40.837099
3024.1330000000003,2.2889,2022-02-05 15:02:41.027563
3024.1330000000003,2.2889,2022-02-05 15:02:41.230915
3024.1330000000003,2.2889,2022-02-05 15:02:41.437131
3024.1387,1.9599,2022-02-05 15:02:41.631671
3024.1387,1.9599,2022-02-05 15:02:41.835265
3024.1387,1.9599,2022-02-05 15:02:42.039650
3024.1387,1.9599,2022-02-05 15:02:42.238627
3024.1387,1.9599,2022-02-05 15:02:42.434624
3024.1387,1.9599,2022-02-05 15:02:42.629811
3024.1387,1.9599,2022-02-05 15:02:42.829737
3024.1387,1.9599,2022-02-05 15:02:43.023893
3024.1387,1.9599,2022-02-05 15:02:43.217734
3024.1387,1.9599,2022-02-05 15:02:43.416145
3024.1387,1.9599,2022-02-05 15:02:43.613099
3024.1387,1.9599,2022-02-05 15:02:43.811739
3024.1387,1.9599,2022-02-05 15:02:44.008159
3024.1374,3.1183,2022-02-05 15:02:44.204282
3024.1374,3.1183,2022-02-05 15:02:44.406613
3024.1243,2.2831,2022-02-05 15:02:44.607056
3024.1243,2.2831,2022-02-05 15:02:44.807551
3024.1341,1.8127,2022-02-05 15:02:45.001982
3024.1341,1.8127,2022-02-05 15:02:45.194554
